ANÁLISIS LÉXICO (Ruby)
Usuario Git : OwuenYagual
Fecha : 2025-11-12 23:53:45.139174
------------------------------------------------------------
TOKENS:
L  1 NEWLINE      '\n'
L  2 NEWLINE      '\n\n'
L  4 NEWLINE      '\n\n'
L  7 NEWLINE      '\n'
L  8 ID           'Debe'
L  8 ID           'ser'
L  8 ID           'ignorado'
L  8 ID           'por'
L  8 ID           'el'
L  8 ID           'analizador'
L  8 ID           'l'
L  8 ID           'xico'
L  8 PTO          '.'
L  8 NEWLINE      '\n'
L  9 ASIG         '='
L  9 END          'end'
L  9 NEWLINE      '\n\n'
L 11 NEWLINE      '\n'
L 12 ID           'ruta_archivo'
L 12 ASIG         '='
L 12 _FILE_       '_FILE_'
L 12 NEWLINE      '\n'
L 13 ID           'linea_actual'
L 13 ASIG         '='
L 13 _LINE_       '_LINE_'
L 13 NEWLINE      '\n\n'
L 15 ID           'number_int'
L 15 ASIG         '='
L 15 NUMBER       42
L 15 NEWLINE      '\n'
L 16 ID           'number_float'
L 16 ASIG         '='
L 16 NUMBER       3.1415
L 16 NEWLINE      '\n'
L 17 ID           'cadena_doble'
L 17 ASIG         '='
L 17 STRING       'Hola, Ruby #{number_int}'
L 17 NEWLINE      '\n'
L 18 ID           'cadena_simple'
L 18 ASIG         '='
L 18 STRING       'Cadena simple sin interpolación'
L 18 NEWLINE      '\n\n'
L 20 NEWLINE      '\n'
L 21 ID           'a'
L 21 ASIG         '='
L 21 NUMBER       10
L 21 NEWLINE      '\n'
L 22 ID           'b'
L 22 ASIG         '='
L 22 NUMBER       3
L 22 NEWLINE      '\n'
L 23 ID           'suma'
L 23 ASIG         '='
L 23 ID           'a'
L 23 PLUS         '+'
L 23 ID           'b'
L 23 NEWLINE      '\n'
L 24 ID           'resta'
L 24 ASIG         '='
L 24 ID           'a'
L 24 MINUS        '-'
L 24 ID           'b'
L 24 NEWLINE      '\n'
L 25 ID           'producto'
L 25 ASIG         '='
L 25 ID           'a'
L 25 TIMES        '*'
L 25 ID           'b'
L 25 NEWLINE      '\n'
L 26 ID           'division'
L 26 ASIG         '='
L 26 ID           'a'
L 26 DIVIDE       '/'
L 26 ID           'b'
L 26 NEWLINE      '\n'
L 27 ID           'modulo'
L 27 ASIG         '='
L 27 ID           'a'
L 27 MOD          '%'
L 27 ID           'b'
L 27 NEWLINE      '\n'
L 28 ID           'potencia'
L 28 ASIG         '='
L 28 ID           'a'
L 28 EXP          '**'
L 28 ID           'b'
L 28 NEWLINE      '\n\n'
L 30 NEWLINE      '\n'
L 31 ID           'es_mayor'
L 31 ASIG         '='
L 31 ID           'a'
L 31 MAYORQ       '>'
L 31 ID           'b'
L 31 NEWLINE      '\n'
L 32 ID           'es_menor'
L 32 ASIG         '='
L 32 ID           'a'
L 32 MENORQ       '<'
L 32 ID           'b'
L 32 NEWLINE      '\n'
L 33 ID           'es_mayor_igual'
L 33 ASIG         '='
L 33 ID           'a'
L 33 MAYORIG      '>='
L 33 ID           'b'
L 33 NEWLINE      '\n'
L 34 ID           'es_menor_igual'
L 34 ASIG         '='
L 34 ID           'a'
L 34 MENORIG      '<='
L 34 ID           'b'
L 34 NEWLINE      '\n'
L 35 ID           'es_igual'
L 35 ASIG         '='
L 35 ID           'a'
L 35 IGUAL        '=='
L 35 ID           'b'
L 35 NEWLINE      '\n'
L 36 ID           'es_distinto'
L 36 ASIG         '='
L 36 ID           'a'
L 36 DIFERENTE    '!='
L 36 ID           'b'
L 36 NEWLINE      '\n\n'
L 38 ID           'cond1'
L 38 ASIG         '='
L 38 TRUE         'true'
L 38 NEWLINE      '\n'
L 39 ID           'cond2'
L 39 ASIG         '='
L 39 FALSE        'false'
L 39 NEWLINE      '\n'
L 40 ID           'logico_y'
L 40 ASIG         '='
L 40 ID           'cond1'
L 40 AND          '&&'
L 40 ID           'cond2'
L 40 NEWLINE      '\n'
L 41 ID           'logico_o'
L 41 ASIG         '='
L 41 ID           'cond1'
L 41 OR           '||'
L 41 ID           'cond2'
L 41 NEWLINE      '\n'
L 42 ID           'logico_not'
L 42 ASIG         '='
L 42 NOT          '!'
L 42 ID           'cond1'
L 42 NEWLINE      '\n\n'
L 44 ID           'logico_and_palabra'
L 44 ASIG         '='
L 44 ID           'cond1'
L 44 AND          'and'
L 44 ID           'cond2'
L 44 NEWLINE      '\n'
L 45 ID           'logico_or_palabra'
L 45 ASIG         '='
L 45 ID           'cond1'
L 45 OR           'or'
L 45 ID           'cond2'
L 45 NEWLINE      '\n'
L 46 ID           'logico_not_palabra'
L 46 ASIG         '='
L 46 NOT          'not'
L 46 ID           'cond2'
L 46 NEWLINE      '\n\n'
L 48 NEWLINE      '\n'
L 49 ID           'numeros'
L 49 ASIG         '='
L 49 LCOR         '['
L 49 NUMBER       1
L 49 COMA         ','
L 49 NUMBER       2
L 49 COMA         ','
L 49 NUMBER       3
L 49 COMA         ','
L 49 NUMBER       4
L 49 COMA         ','
L 49 NUMBER       5
L 49 RCOR         ']'
L 49 NEWLINE      '\n'
L 50 ID           'mi_hash'
L 50 ASIG         '='
L 50 LKEY         '{'
L 50 STRING       'nombre" => "Ana", "edad" => 25, "activo'
L 50 ASIG         '='
L 50 MAYORQ       '>'
L 50 TRUE         'true'
L 50 RKEY         '}'
L 50 NEWLINE      '\n\n'
L 52 NEWLINE      '\n'
L 53 ID           'rango'
L 53 ASIG         '='
L 53 NUMBER       1
L 53 PTO          '.'
L 53 PTO          '.'
L 53 NUMBER       10
L 53 NEWLINE      '\n'
L 54 ID           'rango_exclusivo'
L 54 ASIG         '='
L 54 NUMBER       1
L 54 PTO          '.'
L 54 PTO          '.'
L 54 PTO          '.'
L 54 NUMBER       10
L 54 NEWLINE      '\n\n'
L 56 NEWLINE      '\n'
L 57 MODULE       'module'
L 57 ID           'Utilidades'
L 57 NEWLINE      '\n'
L 58 DEF          'def'
L 58 SELF         'self'
L 58 PTO          '.'
L 58 ID           'sumar'
L 58 LPAR         '('
L 58 ID           'x'
L 58 COMA         ','
L 58 ID           'y'
L 58 RPAR         ')'
L 58 NEWLINE      '\n'
L 59 ID           'x'
L 59 PLUS         '+'
L 59 ID           'y'
L 59 NEWLINE      '\n'
L 60 END          'end'
L 60 NEWLINE      '\n'
L 61 END          'end'
L 61 NEWLINE      '\n\n'
L 63 CLASS        'class'
L 63 ID           'Persona'
L 63 NEWLINE      '\n'
L 64 DEF          'def'
L 64 ID           'initialize'
L 64 LPAR         '('
L 64 ID           'nombre'
L 64 COMA         ','
L 64 ID           'edad'
L 64 RPAR         ')'
L 64 NEWLINE      '\n'
L 65 ID           'nombre'
L 65 ASIG         '='
L 65 ID           'nombre'
L 65 NEWLINE      '\n'
L 66 ID           'edad'
L 66 ASIG         '='
L 66 ID           'edad'
L 66 NEWLINE      '\n'
L 67 END          'end'
